#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,Channel_ID,Channel_name,Subscribers,Views,Total_videos,Video_views,Total_likes,Total_comments,Engagement_rate,Channel_category,Channel_target_audience
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,33700000,11118688310,1665,8811525686,127750487,4278814,1.4983704945645437,Music/Artists,Diverse
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,28700000,19824733776,3707,4485378087,82952541,8510510,2.0391380442395244,Gaming/Gamers,Young Adults
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,UCVtFOytbRpEvzLjvqGG5gxQ,KSI,24100000,6015064768,1252,2742462970,72052069,5752656,2.837038306482585,Gaming/Gamers,Young Adults
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.1%,Reino Unido,,6.9M,,Ver Perfil,UC_8PAD0Qmi6_gpe77S1Atgg,Mister Max,24500000,16070336960,1145,11674024737,52024145,292147,0.44814272008681966,Comedy/Vloggers,Kids
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,UC0DZmkupLYwc0yDsfocLh0A,Jelly,23600000,15083492903,6422,1159697546,38797656,992799,3.4311062515605255,Comedy/Vloggers,Young Adults
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,UCcartHVtvAUzfajflyeT_Gg,Miss Katy,24600000,15611067290,1088,10766246615,47058205,259038,0.43949618369391213,Comedy/Vloggers,Kids
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,23600000,13183103352,270,11111113505,100960886,2186254,0.9283240599925812,Music/Artists,Young Adults
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.3%,Reino Unido,,5.3M,,Ver Perfil,UC6D1L2vxEAg_Vi0JSxMBDgA,Dan Rhodes,26900000,18782581258,1670,15169360042,559021118,1603459,3.695769468506099,Comedy/Vloggers,Young Adults
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,UCYVinkwSX7szARULgYpvhLw,Ali-A,18900000,6509983851,4350,797746957,30441951,841962,3.921533354090876,Gaming/Gamers,Young Adults
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,UCHwBjRoGO1V-H8QYXjSVHkQ,Gaby and Alex,17200000,8686551796,367,8395471307,19054093,0,0.2269567997226436,Comedy/Vloggers,Kids
11,Sidemen @sidemen,17M,2.8%,Reino Unido,,5.1M,,Ver Perfil,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,21200000,6206481212,358,6121302497,168952753,5272231,2.84620771617456,Gaming/Gamers,Young Adults
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,17700000,11284694804,1181,10025960402,73803577,2958750,0.7656356490764444,Music/Artists,Diverse
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,UCIvqWqjC4aLvp7zI8hzARrA,Little Mix,16400000,7838466387,278,120289696,3776158,154563,3.267712140531139,Music/Artists,Young Adults
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,UCGmnsW623G1r-Chmo5RB4Yw,JJ Olatunji,16300000,4269931038,1354,2631996813,139766388,5754687,5.528922918190479,Gaming/Gamers,Diverse
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.2%,Reino Unido,Celebridad,4.2M,,Ver Perfil,UCKvn9VBLAiLiYL4FFJHri6g,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3350393119,781,2418653165,42754353,2120828,1.8553789211856675,Sports,Diverse
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,UC16niRr50-MSBwiO3YDb3RA,BBC News,16100000,5339002388,21791,856607842,10031199,2065408,1.4121522599836298,News/Talk Shows,Diverse
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,UCCj956IF62FbT7Gouszaj9w,BBC,14200000,10468169782,19309,3393460096,32425917,1540597,1.0009404277373888,News/Talk Shows,Diverse
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,UCBq5hp6DvwWam2XOXw6lYJA,Awakening Music,14100000,5969300940,939,5119427505,39871497,1920139,0.816334169380918,Music/Artists,Diverse
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,12.3M,-,संयुक्त अधिराज्य,,3.7M,,प्रोफ़ाइल देखें,UCLeuoGy_hUDTBf5Hk0ynrpQ,DisneyChannelUK,13000000,13403174663,4526,6915518977,28043320,0,0.4055128775333849,Kids/Family Entertainment,Kids
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,11.9M,0.6%,संयुक्त अधिराज्य,,3.6M,,प्रोफ़ाइल देखें,UCp68_FLety0O-n9QU6phsgw,colinfurze,13000000,1750845605,397,1710494447,35673602,1444438,2.1700181526517404,Automotive,Diverse
